,Loan_ID,cluster_Kmeans_outlier_removed,Kmeans_pca_clusters,Kmeans_pca_pipeline_clusters,KPrototypes_with_org_feat,KPrototypes_with_encode_feat,Kmeans_pca_mca
292,10237986,1,0,0,1,1,0
293,10000866,1,1,1,1,1,1
294,10000468,0,1,0,0,0,0
295,10144950,0,0,1,1,1,0
296,10168736,1,0,1,1,1,0
297,10122191,0,0,0,0,0,0
298,10182760,1,1,1,1,1,1
299,10266503,0,0,0,1,1,0
300,10075168,1,1,0,1,1,1
301,10119945,1,0,1,1,1,0
302,10049214,1,0,0,1,1,0
303,10108296,0,0,0,1,1,0
304,10177040,0,1,1,1,1,1
305,10058953,0,1,1,0,0,1
306,10204459,0,1,0,1,1,1
307,10039343,1,1,0,1,1,1
308,10050736,1,0,0,1,1,0
309,10146183,0,1,0,1,1,1
310,10135708,0,0,0,1,1,0
311,10207664,1,1,1,1,1,1
312,10228870,0,1,0,1,1,1
313,10137609,0,1,0,1,1,1
314,10213727,0,1,0,1,1,1
315,10094761,0,1,0,1,1,1
316,10136920,1,1,0,1,1,1
317,10115172,0,1,1,1,1,1
318,10093305,1,0,0,1,1,0
319,10020073,1,1,1,1,1,1
320,10060568,1,1,0,1,1,1
321,10153254,1,1,0,1,1,1
322,10150287,1,1,0,1,1,1
323,10169658,0,1,1,1,1,1
324,10156535,0,0,0,1,1,1
325,10148637,1,1,1,1,1,1
326,10073208,1,1,0,1,1,1
327,10029414,1,0,0,1,1,0
328,10042486,0,0,1,1,1,0
329,10196944,1,0,0,0,0,0
330,10118562,0,0,0,1,1,0
331,10201663,1,0,1,1,1,0
332,10218928,1,1,0,1,1,1
333,10087729,1,0,0,1,1,0
334,10079737,0,1,0,0,0,1
335,10055517,0,1,0,1,1,1
336,10254818,1,1,1,1,1,1
337,10242176,1,1,1,1,1,0
338,10170874,1,1,1,1,1,1
339,10119711,1,1,1,1,1,1
340,10034064,1,0,1,1,1,0
341,10249887,0,0,1,1,1,0
342,10193679,1,1,1,0,0,1
343,10071394,1,1,0,1,1,1
344,10130636,0,1,1,1,1,1
345,10214073,0,0,1,1,1,0
346,10117052,1,0,0,1,1,0
347,10199038,1,1,0,1,1,1
348,10086582,1,0,0,0,0,0
349,10218168,1,1,0,1,1,1
350,10062690,0,1,0,1,1,1
351,10250804,1,1,0,1,1,1
352,10004482,1,0,0,1,1,0
353,10114696,1,1,0,1,1,1
354,10203697,1,1,0,1,1,1
355,10092943,1,0,0,1,1,0
356,10055296,1,0,1,0,0,0
357,10150855,0,0,0,1,1,1
358,10149477,1,0,0,1,1,1
359,10070866,1,1,0,1,1,1
360,10045000,0,0,0,1,1,0
361,10037372,0,0,1,1,1,0
362,10136744,1,1,1,1,1,1
363,10024433,1,0,0,1,1,0
364,10175045,0,1,0,1,1,1
365,10086748,1,0,0,1,1,0
366,10196307,0,1,0,1,1,1
367,10194807,1,1,0,1,1,1
368,10139464,0,1,0,1,1,1
369,10005908,1,1,0,1,1,1
370,10204919,1,1,0,1,1,1
371,10227759,1,1,1,1,1,1
372,10071731,0,0,1,1,1,0
373,10050642,1,1,1,1,1,1
374,10037090,1,0,0,1,1,0
375,10174391,1,0,1,0,0,0
376,10108560,1,1,1,1,1,1
377,10009683,1,0,1,0,0,1
378,10108578,0,1,1,1,1,1
379,10120705,1,1,1,1,1,1
380,10258315,0,1,0,1,1,1
381,10125047,1,1,0,1,1,1
382,10000100,1,1,1,1,1,1
383,10148505,1,1,1,1,1,1
384,10257989,1,1,1,1,1,1
385,10140445,1,1,0,0,0,1
386,10030106,1,1,1,1,1,1
387,10187710,1,0,0,1,1,0
388,10037754,1,0,0,1,1,0
389,10268230,1,0,1,1,1,0
390,10201490,1,1,0,1,1,1
391,10212540,0,0,0,1,1,0
392,10047861,1,1,1,1,1,1
393,10148701,0,1,0,1,1,1
394,10135400,1,1,0,1,1,1
395,10245175,1,1,1,0,0,1
396,10055092,1,1,0,1,1,1
397,10176188,0,1,0,1,1,1
398,10077739,1,0,0,1,1,0
399,10025110,0,1,0,1,1,1
400,10116720,0,0,0,1,1,0
401,10020651,1,1,0,1,1,1
402,10102802,0,1,0,1,1,0
403,10023593,1,1,0,0,0,1
404,10168347,1,1,0,1,1,1
405,10116125,1,1,1,1,1,1
406,10006725,1,0,0,1,1,0
407,10170723,0,1,0,1,1,1
408,10083301,1,1,0,0,0,1
409,10037303,0,1,1,1,1,1
410,10047669,1,1,0,1,1,1
411,10125225,1,1,1,1,1,1
412,10206312,1,1,0,1,1,1
413,10198337,0,0,0,1,1,0
414,10126733,0,0,0,1,1,0
415,10221339,0,1,1,1,1,1
416,10067188,0,1,1,1,1,1
417,10036059,1,0,0,1,1,0
418,10223732,1,1,1,1,1,1
419,10243607,0,1,0,1,1,1
420,10188006,1,1,0,1,1,1
421,10247900,1,0,0,1,1,0
422,10051492,1,1,1,1,1,1
423,10036083,0,1,1,1,1,1
424,10105197,0,1,1,1,1,1
425,10005066,1,1,1,1,1,1
426,10234436,0,1,1,1,1,1
427,10261067,1,1,1,1,1,1
428,10225665,0,1,0,1,1,1
429,10225876,1,0,1,0,0,0
430,10158841,1,1,1,1,1,1
431,10148026,1,0,0,1,1,0
432,10076814,0,0,0,1,1,0
433,10059382,0,0,1,1,1,0
434,10078070,1,1,1,1,1,1
435,10017235,1,1,0,1,1,1
436,10162608,0,1,0,1,1,1
437,10089422,1,0,1,1,1,0
438,10174578,1,1,0,1,1,1
439,10272776,1,1,0,1,1,1
440,10180686,1,1,0,1,1,1
441,10174369,1,0,0,0,0,0
442,10097708,0,1,0,1,1,1
443,10022785,0,1,1,1,1,1
444,10217734,0,1,0,1,1,1
445,10049512,1,1,1,1,1,1
446,10018599,1,0,0,1,1,0
447,10268641,1,0,0,0,0,0
448,10100694,1,1,0,1,1,1
449,10226800,1,0,1,1,1,0
450,10068804,1,1,1,1,1,1
451,10014008,1,0,1,1,1,0
452,10039307,1,0,1,1,1,0
453,10204425,1,0,1,1,1,0
454,10131823,1,1,0,1,1,1
455,10114991,0,0,0,0,0,0
456,10060884,1,0,0,1,1,0
457,10224022,1,0,0,1,1,0
458,10225354,1,0,0,1,1,0
459,10115920,0,0,0,1,1,0
460,10271320,0,1,1,1,1,1
461,10212586,1,1,1,1,1,1
462,10047825,0,0,1,1,1,0
463,10193155,0,1,0,1,1,1
464,10189350,1,1,0,1,1,1
465,10209396,1,1,1,1,1,1
466,10191657,1,1,0,1,1,1
467,10116797,0,1,0,1,1,1
468,10168809,1,0,1,1,1,0
469,10000798,1,1,0,1,1,1
470,10089328,1,1,1,1,1,1
471,10027890,1,0,0,1,1,0
472,10124785,1,1,0,1,1,1
473,10029118,0,1,1,1,1,1
474,10208667,1,0,1,0,0,0
475,10256694,1,0,0,1,1,0
476,10174381,1,0,1,1,1,0
477,10192574,0,1,1,1,1,1
478,10242476,0,0,1,1,1,0
479,10083008,1,1,1,1,1,1
480,10223484,1,1,0,1,1,1
481,10075124,1,1,1,1,1,1
482,10141987,1,1,0,1,1,1
483,10199072,1,1,0,1,1,1
484,10206850,0,0,0,1,1,0
485,10084826,1,1,0,1,1,1
486,10012719,0,0,0,1,1,0
487,10244800,1,1,0,1,1,1
488,10141583,1,0,0,1,1,0
489,10115792,0,0,1,1,1,0
490,10233614,1,0,0,0,0,0
491,10094796,1,1,1,1,1,1
492,10083068,0,1,1,1,1,1
493,10217076,0,1,1,1,1,1
494,10090777,1,0,0,1,1,0
495,10029433,1,1,1,1,1,1
496,10262343,1,1,1,1,1,1
497,10136769,1,0,1,0,0,0
498,10038862,0,1,0,1,1,1
499,10086966,0,1,1,1,1,1
500,10256835,0,0,0,1,1,0
501,10145139,0,1,1,1,1,0
502,10269628,1,1,1,1,1,1
503,10006129,1,1,0,1,1,1
504,10202690,0,1,0,1,1,1
505,10124065,1,1,0,1,1,1
506,10205709,1,0,1,1,1,0
507,10228636,1,1,0,1,1,1
508,10195570,1,0,0,1,1,0
509,10099702,1,1,0,1,1,1
510,10007217,0,0,0,1,1,0
511,10107800,1,1,0,1,1,1
512,10003344,1,1,0,1,1,1
513,10137948,0,1,0,1,1,1
514,10266945,1,1,0,1,1,1
515,10188427,0,0,1,0,0,0
516,10157381,0,0,0,0,0,0
517,10123287,1,1,0,1,1,1
518,10137700,1,0,1,1,1,0
519,10057228,1,0,0,1,1,0
520,10203331,1,1,1,1,1,1
521,10030513,0,1,1,1,1,1
522,10036239,1,1,0,1,1,1
523,10158020,0,1,0,1,1,1
524,10189504,1,1,0,1,1,1
525,10056034,1,0,1,1,1,0
526,10105035,1,1,0,1,1,1
527,10107811,0,0,0,1,1,0
528,10012195,1,1,1,1,1,1
529,10160075,0,1,0,1,1,1
530,10150675,0,0,1,1,1,0
531,10108681,1,0,0,1,1,0
532,10228443,0,1,0,1,1,1
533,10233827,1,1,0,1,1,1
534,10095426,1,1,0,1,1,1
535,10025067,1,1,0,0,0,1
536,10225009,0,0,0,1,1,0
537,10086968,0,0,0,0,0,0
538,10157979,1,1,1,1,1,1
539,10025126,1,0,1,0,0,0
540,10060201,0,1,0,1,1,1
541,10149364,0,1,0,1,1,1
542,10176909,0,1,1,1,1,1
543,10212194,0,1,1,1,1,1
544,10232837,1,0,0,1,1,0
545,10117345,1,1,1,1,1,1
546,10265649,1,0,0,1,1,0
547,10159058,1,1,0,1,1,1
548,10091735,0,0,0,1,1,0
549,10247956,1,0,1,0,0,0
550,10176601,1,0,0,0,0,0
551,10032941,1,0,0,1,1,0
552,10214141,1,1,0,1,1,1
553,10131125,1,1,0,1,1,1
554,10038045,0,0,1,0,0,0
555,10040184,0,0,1,0,0,0
556,10073277,1,1,0,1,1,1
557,10075996,1,0,0,0,0,0
558,10097826,1,0,0,1,1,0
559,10041488,1,1,1,1,1,1
560,10127155,1,1,1,1,1,1
561,10058552,1,1,0,1,1,1
562,10055578,1,1,1,1,1,1
563,10263976,1,1,1,1,1,1
564,10100166,1,1,1,1,1,1
565,10234478,1,0,0,1,1,0
566,10146646,1,0,0,1,1,0
567,10269355,1,1,0,1,1,1
568,10164436,0,1,1,1,1,1
569,10054381,0,1,0,1,1,1
570,10212911,1,1,0,1,1,1
571,10019235,1,1,0,1,1,1
572,10241042,1,1,1,1,1,1
573,10026234,1,1,0,1,1,1
574,10163075,1,0,1,1,1,0
575,10142719,1,0,1,1,1,0
576,10140839,1,1,0,1,1,1
577,10008353,1,1,0,1,1,1
578,10195012,1,1,0,1,1,1
579,10227031,1,0,1,0,0,0
580,10190438,1,1,0,1,1,1
581,10197835,1,1,0,1,1,1
582,10168114,0,1,0,1,1,1
583,10177317,0,1,0,1,1,1
584,10067003,1,1,0,0,0,1
585,10261115,1,0,1,1,1,0
586,10128934,1,1,0,1,1,1
587,10179213,0,1,1,1,1,1
588,10258279,1,0,0,1,1,0
589,10117387,0,1,1,1,1,1
590,10108264,0,1,0,1,1,1
591,10165287,1,1,0,1,1,1
592,10155758,1,0,0,1,1,0
593,10190758,1,0,0,1,1,0
594,10255246,0,0,0,1,1,0
595,10033840,1,1,1,1,1,1
596,10121908,1,0,1,1,1,0
597,10011531,0,1,0,1,1,1
598,10244910,0,0,1,0,0,0
599,10075888,1,0,1,1,1,0
600,10010386,0,0,1,1,1,0
601,10219935,0,1,0,1,1,1
602,10241717,1,1,0,1,1,1
603,10062936,0,1,0,1,1,1
604,10190898,1,0,1,1,1,0
605,10212130,1,0,0,1,1,0
606,10229795,0,0,0,1,1,0
607,10028804,1,1,0,1,1,1
608,10101520,0,1,1,1,1,1
609,10253189,0,0,1,1,1,0
610,10242422,1,1,0,1,1,1
611,10220292,1,0,0,1,1,0
612,10217394,1,0,0,1,1,0
613,10074679,1,1,0,1,1,1
614,10234453,0,0,0,1,1,0
615,10026977,0,1,1,1,1,1
616,10105952,1,0,0,1,1,0
617,10246672,1,1,0,1,1,1
618,10044584,1,0,1,1,1,0
619,10184589,0,1,0,1,1,1
620,10241117,1,1,0,1,1,1
621,10018263,0,1,0,1,1,1
622,10212838,1,0,1,1,1,0
623,10007408,1,0,1,1,1,0
624,10140047,0,1,1,1,1,1
625,10229420,0,1,1,1,1,1
626,10117299,1,1,0,0,0,1
627,10038957,0,0,0,1,1,0
628,10214644,1,0,0,1,1,0
629,10026307,0,1,0,1,1,1
630,10034543,0,1,1,1,1,1
631,10153183,1,0,1,1,1,0
632,10170588,1,0,1,1,1,0
633,10085972,0,1,1,1,1,1
634,10259595,1,1,0,1,1,1
635,10197697,1,1,0,1,1,1
636,10113971,0,1,1,1,1,1
637,10214768,1,1,1,0,0,0
638,10062269,1,0,0,1,1,0
639,10182311,0,1,1,1,1,1
640,10243066,1,1,0,1,1,1
641,10260291,0,1,1,1,1,1
642,10141553,0,1,0,1,1,1
643,10245537,1,0,1,1,1,0
644,10214934,1,1,0,1,1,1
645,10112468,1,1,0,1,1,0
646,10202043,1,0,0,1,1,0
647,10139834,1,1,0,1,1,1
648,10152813,1,0,0,0,0,0
649,10124196,0,0,0,1,1,0
650,10116355,0,1,0,1,1,1
651,10273576,1,0,1,1,1,0
652,10150719,1,0,0,1,1,0
653,10073255,1,0,0,0,0,0
654,10163243,1,0,0,1,1,0
655,10147519,1,0,0,1,1,0
656,10149621,1,1,1,1,1,1
657,10130953,1,0,0,1,1,0
658,10002424,1,0,1,0,0,0
659,10227887,0,0,0,1,1,0
660,10200359,1,1,0,1,1,1
661,10037190,0,1,1,1,1,1
662,10102539,1,1,0,1,1,1
663,10051313,0,1,1,1,1,1
664,10258719,1,1,1,1,1,1
665,10182730,1,1,0,1,1,1
666,10014851,1,1,1,1,1,1
667,10068428,0,0,0,1,1,0
668,10129725,1,0,0,0,0,0
669,10160962,1,1,1,1,1,1
670,10168953,1,0,0,1,1,0
671,10053530,1,0,1,1,1,0
672,10042519,1,1,0,1,1,1
673,10144679,0,1,0,1,1,1
674,10204933,0,0,1,1,1,0
675,10245310,0,1,0,1,1,1
676,10125294,0,0,0,1,1,0
677,10108794,0,1,1,1,1,1
678,10253482,0,1,1,0,0,1
679,10059849,1,0,1,0,0,0
680,10132667,0,1,0,1,1,1
681,10155837,0,0,1,1,1,0
682,10044111,1,0,0,1,1,0
683,10073981,1,1,1,1,1,1
684,10266403,0,1,0,1,1,1
685,10241953,1,1,0,1,1,1
686,10016167,1,1,0,1,1,1
687,10221885,0,1,0,1,1,1
688,10130005,0,1,0,1,1,1
689,10059633,0,1,0,0,0,1
690,10133110,0,0,0,0,0,0
691,10254582,1,1,0,1,1,1
692,10222502,0,1,0,0,0,1
693,10040437,1,1,1,1,1,1
694,10260773,0,0,0,1,1,0
695,10241534,1,0,1,1,1,0
696,10083825,1,1,0,1,1,1
697,10058531,1,1,0,1,1,1
698,10135027,0,0,1,1,1,0
699,10191637,1,1,1,1,1,1
700,10076654,1,1,0,1,1,1
701,10167286,0,1,0,1,1,1
702,10101953,0,0,0,1,1,0
703,10226615,0,0,0,1,1,0
704,10084172,0,0,0,1,1,0
705,10019652,1,1,0,1,1,1
706,10115923,1,1,0,1,1,1
707,10204129,1,0,0,1,1,0
708,10052337,0,1,0,1,1,1
709,10019782,1,1,0,1,1,1
710,10193311,0,0,0,1,1,0
711,10127275,0,1,0,0,0,1
712,10042668,1,0,1,1,1,0
713,10223720,1,1,1,1,1,1
714,10016733,1,1,1,1,1,0
715,10179615,0,0,0,1,1,0
716,10063533,1,1,0,1,1,1
717,10267763,1,1,1,1,1,1
718,10000090,1,0,0,1,1,0
719,10014259,0,1,0,1,1,1
720,10264659,0,1,1,1,1,1
721,10165326,1,1,0,1,1,1
722,10184884,1,1,0,1,1,1
723,10193265,0,0,0,0,0,0
724,10225762,1,1,0,1,1,1
725,10182527,0,1,0,1,1,1
726,10119261,1,1,0,1,1,1
727,10045149,0,0,0,1,1,0
728,10223107,0,1,0,1,1,1
729,10270930,1,1,1,1,1,1
730,10187202,0,1,1,1,1,1
731,10128968,0,1,0,1,1,1
732,10224340,0,1,1,0,0,0
733,10166508,0,1,1,1,1,1
734,10100301,0,1,1,1,1,1
735,10243419,1,1,1,1,1,1
736,10185976,0,0,0,1,1,0
737,10045196,0,1,0,1,1,1
738,10240312,1,1,1,1,1,1
739,10217591,0,0,0,1,1,0
740,10024097,1,1,0,0,0,1
741,10217574,0,1,0,1,1,1
742,10229106,1,1,0,1,1,1
743,10053332,0,1,0,1,1,1
744,10127468,1,1,0,0,0,1
745,10199895,1,1,1,1,1,1
746,10045951,1,0,0,1,1,0
747,10121882,1,1,0,1,1,1
748,10109079,1,1,1,1,1,1
749,10194984,0,0,0,0,0,0
750,10197960,1,1,1,1,1,1
751,10118358,1,1,0,1,1,1
752,10133069,1,1,1,1,1,1
753,10146244,1,0,0,0,0,0
754,10248802,0,1,1,1,1,1
755,10211616,0,1,0,1,1,1
756,10060594,0,1,1,1,1,1
757,10126649,1,0,0,1,1,0
758,10130442,1,0,0,1,1,0
759,10113914,1,0,0,1,1,0
760,10014163,1,1,0,1,1,1
761,10014905,0,1,1,1,1,1
762,10090606,1,0,1,1,1,0
763,10102897,0,0,1,1,1,0
764,10227115,1,1,0,1,1,1
765,10175396,1,0,1,1,1,0
766,10245049,1,0,1,1,1,0
