,Loan_Amount_Requested,Length_Employed,Home_Owner,Annual_Income,Income_Verified,Purpose_Of_Loan,Debt_To_Income,Inquiries_Last_6Mo,Months_Since_Deliquency,Number_Open_Accounts,Total_Accounts,Gender,Length_Employed_10+ years,Length_Employed_2 years,Length_Employed_3 years,Length_Employed_4 years,Length_Employed_5 years,Length_Employed_6 years,Length_Employed_7 years,Length_Employed_8 years,Length_Employed_9 years,Length_Employed_< 1 year,Home_Owner_None,Home_Owner_Other,Home_Owner_Own,Home_Owner_Rent,Income_Verified_VERIFIED - income source,Income_Verified_not verified,Purpose_Of_Loan_credit_card,Purpose_Of_Loan_debt_consolidation,Purpose_Of_Loan_educational,Purpose_Of_Loan_home_improvement,Purpose_Of_Loan_house,Purpose_Of_Loan_major_purchase,Purpose_Of_Loan_medical,Purpose_Of_Loan_moving,Purpose_Of_Loan_other,Purpose_Of_Loan_renewable_energy,Purpose_Of_Loan_small_business,Purpose_Of_Loan_vacation,Purpose_Of_Loan_wedding,Gender_Male
26,20000.0,10+ years,Mortgage,75000.0,VERIFIED - income,debt_consolidation,17.33,1,23.0,11,42,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,5000.0,3 years,Rent,27600.0,not verified,debt_consolidation,12.35,0,37.0,5,16,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,20000.0,10+ years,Rent,72000.0,VERIFIED - income source,debt_consolidation,3.52,2,9.0,9,45,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,34025.0,10+ years,Rent,81120.0,VERIFIED - income,debt_consolidation,19.87,1,64.0,17,34,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,4750.0,< 1 year,Mortgage,45204.0,VERIFIED - income source,car,20.95,1,26.0,26,49,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,16725.0,10+ years,Rent,75222.0,VERIFIED - income source,credit_card,8.2,1,46.0,8,16,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,12000.0,10+ years,Rent,40000.0,VERIFIED - income source,debt_consolidation,34.62,1,3.0,15,26,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,5650.0,9 years,Rent,34000.0,not verified,credit_card,20.16,0,55.0,10,19,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3000.0,5 years,Mortgage,52000.0,VERIFIED - income,vacation,7.29,1,4.0,8,34,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35,14000.0,2 years,Rent,48500.0,VERIFIED - income source,credit_card,23.82,0,42.0,16,19,Female,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,30500.0,< 1 year,Mortgage,66500.0,VERIFIED - income,credit_card,12.4,0,11.0,18,38,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,35000.0,10+ years,Mortgage,250000.0,VERIFIED - income,debt_consolidation,13.87,2,21.0,19,41,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,10800.0,6 years,Rent,55000.0,not verified,debt_consolidation,22.21,0,81.0,12,44,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,7000.0,4 years,Rent,60000.0,VERIFIED - income source,debt_consolidation,6.64,0,52.0,9,13,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,7000.0,10+ years,Own,46115.5,not verified,home_improvement,15.27,1,64.0,6,8,Male,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,29850.0,10+ years,Mortgage,65000.0,VERIFIED - income source,debt_consolidation,28.99,0,14.0,10,21,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,3200.0,5 years,Mortgage,73000.0,not verified,credit_card,7.03,1,20.0,6,12,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,11725.0,2 years,Mortgage,53500.0,not verified,debt_consolidation,38.31,0,69.0,17,32,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,10000.0,10+ years,Rent,40000.0,VERIFIED - income source,debt_consolidation,6.87,0,57.0,3,7,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,20000.0,2 years,Mortgage,110000.0,VERIFIED - income,debt_consolidation,13.51,3,34.0,17,24,Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,26575.0,5 years,Mortgage,66560.0,VERIFIED - income,credit_card,23.39,1,75.0,15,25,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,35000.0,10+ years,Mortgage,73000.0,VERIFIED - income source,debt_consolidation,14.23,0,8.0,8,17,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,10625.0,3 years,Rent,54000.0,VERIFIED - income source,credit_card,18.0,1,37.0,12,39,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49,24000.0,3 years,Mortgage,150000.0,VERIFIED - income source,credit_card,16.43,0,15.0,30,47,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50,10000.0,6 years,Own,58000.0,not verified,debt_consolidation,21.9,0,48.0,10,30,Male,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,6050.0,1 year,Mortgage,30000.0,not verified,credit_card,30.36,0,49.0,6,10,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,35000.0,10+ years,Mortgage,120000.0,VERIFIED - income,credit_card,19.38,0,62.0,10,27,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,8000.0,10+ years,Rent,50000.0,not verified,debt_consolidation,24.19,0,28.0,2,15,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
54,15000.0,8 years,Own,118500.0,not verified,debt_consolidation,9.21,0,22.0,6,27,Male,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,10000.0,10+ years,Mortgage,98000.0,VERIFIED - income source,debt_consolidation,8.01,0,38.0,11,27,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,18000.0,10+ years,Own,75000.0,VERIFIED - income source,debt_consolidation,17.57,1,45.0,9,15,Male,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,18000.0,8 years,Mortgage,73000.0,VERIFIED - income,debt_consolidation,6.14,1,9.0,8,13,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,5800.0,< 1 year,Rent,25000.0,not verified,credit_card,20.45,0,68.0,5,7,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,20000.0,10+ years,Own,73000.0,VERIFIED - income source,home_improvement,19.67,4,59.0,12,31,Male,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,16000.0,8 years,Mortgage,100000.0,not verified,credit_card,13.01,0,83.0,18,30,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,4800.0,3 years,Mortgage,62000.0,VERIFIED - income source,credit_card,17.5,3,39.0,14,36,Female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10000.0,5 years,Mortgage,55000.0,VERIFIED - income,debt_consolidation,11.43,0,67.0,6,25,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,20000.0,2 years,Mortgage,150000.0,VERIFIED - income,debt_consolidation,9.86,1,75.0,15,23,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,2000.0,5 years,Rent,32640.0,VERIFIED - income source,other,6.62,0,63.0,6,10,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,12800.0,6 years,Mortgage,44000.0,not verified,debt_consolidation,18.39,0,46.0,6,9,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,5000.0,10+ years,Own,41000.0,VERIFIED - income,debt_consolidation,36.94,0,52.0,10,15,Male,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,24500.0,10+ years,Mortgage,105000.0,VERIFIED - income,credit_card,11.75,1,66.0,20,31,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,15300.0,5 years,Mortgage,61000.0,not verified,credit_card,27.68,0,10.0,8,18,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
69,10000.0,7 years,Mortgage,100000.0,VERIFIED - income source,home_improvement,3.84,0,38.0,9,20,Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,15000.0,2 years,Mortgage,60000.0,not verified,other,24.72,2,3.0,8,14,Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71,18450.0,6 years,Mortgage,69462.0,not verified,debt_consolidation,27.4,1,47.0,15,26,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72,21250.0,10+ years,Mortgage,47500.0,VERIFIED - income,debt_consolidation,17.58,0,67.0,10,33,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
73,12000.0,5 years,Mortgage,65000.0,VERIFIED - income,debt_consolidation,13.79,3,21.0,9,19,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,12000.0,6 years,Rent,73000.0,not verified,credit_card,16.52,0,46.0,9,11,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,15000.0,10+ years,Mortgage,90000.0,not verified,debt_consolidation,21.61,0,33.0,10,27,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
76,17625.0,10+ years,Mortgage,40000.0,VERIFIED - income,debt_consolidation,29.61,2,44.0,11,23,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
77,18000.0,6 years,Mortgage,40000.0,VERIFIED - income,debt_consolidation,29.91,3,21.0,13,20,Male,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,10000.0,3 years,Rent,36000.0,VERIFIED - income,credit_card,13.13,0,28.0,11,17,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
79,9600.0,5 years,Mortgage,32000.0,VERIFIED - income,credit_card,16.92,0,22.0,15,20,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
80,10000.0,5 years,Mortgage,44000.0,VERIFIED - income,credit_card,2.13,2,1.0,5,8,Female,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,18000.0,< 1 year,Rent,155000.0,VERIFIED - income source,credit_card,12.47,1,19.0,22,46,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
82,10500.0,10+ years,Mortgage,30000.0,not verified,credit_card,17.16,1,18.0,16,58,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,10000.0,10+ years,Mortgage,73000.0,VERIFIED - income source,credit_card,14.34,1,61.0,10,22,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1400.0,10+ years,Mortgage,33000.0,VERIFIED - income source,home_improvement,30.76,2,8.0,14,33,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,2500.0,< 1 year,Own,40000.0,VERIFIED - income source,other,22.77,0,46.0,11,16,Male,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
86,18000.0,5 years,Rent,73000.0,not verified,debt_consolidation,21.39,0,19.0,8,16,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
87,24000.0,< 1 year,Rent,275000.0,VERIFIED - income,credit_card,5.55,0,50.0,7,16,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,15000.0,8 years,Rent,75000.0,not verified,debt_consolidation,16.56,1,14.0,13,20,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,5600.0,10+ years,Rent,40000.0,VERIFIED - income source,debt_consolidation,30.9,0,21.0,8,18,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,12000.0,9 years,Rent,39000.0,VERIFIED - income,debt_consolidation,12.49,0,29.0,10,16,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,13850.0,10+ years,Mortgage,42000.0,VERIFIED - income source,debt_consolidation,25.8,1,10.0,8,23,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,16000.0,10+ years,Mortgage,45000.0,VERIFIED - income,home_improvement,25.57,2,28.0,11,30,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,3400.0,2 years,Rent,46000.0,not verified,credit_card,21.81,0,49.0,14,29,Female,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4550.0,7 years,Mortgage,69000.0,VERIFIED - income source,debt_consolidation,20.21,0,38.0,19,28,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,11125.0,9 years,Mortgage,73000.0,not verified,credit_card,15.46,1,20.0,13,23,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
96,20000.0,10+ years,Rent,90000.0,VERIFIED - income,debt_consolidation,8.84,0,12.0,11,30,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,4000.0,4 years,Rent,26000.0,not verified,debt_consolidation,29.86,0,17.0,13,21,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,14700.0,5 years,Rent,35000.0,not verified,car,6.31,0,48.0,7,10,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,14400.0,1 year,Own,48500.0,VERIFIED - income source,credit_card,17.39,2,7.0,6,22,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
100,10000.0,4 years,Mortgage,64500.0,VERIFIED - income,other,14.79,2,66.0,8,47,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101,8000.0,3 years,Rent,39100.0,not verified,small_business,21.88,3,45.0,15,49,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
102,1500.0,< 1 year,Mortgage,26880.0,VERIFIED - income,other,13.21,1,55.0,3,8,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,19000.0,3 years,Rent,46125.0,not verified,debt_consolidation,20.11,0,39.0,13,19,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
104,6000.0,10+ years,Rent,50000.0,not verified,debt_consolidation,15.63,2,18.0,9,22,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
105,16000.0,10+ years,Rent,60000.0,not verified,debt_consolidation,27.24,0,3.0,11,18,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,18000.0,10+ years,Mortgage,95000.0,not verified,debt_consolidation,18.09,1,18.0,16,35,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,9000.0,5 years,Mortgage,70000.0,VERIFIED - income source,debt_consolidation,23.28,0,59.0,9,25,Male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
108,3000.0,3 years,Rent,23000.0,not verified,debt_consolidation,26.4,2,81.0,6,20,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,6350.0,4 years,Rent,110000.0,VERIFIED - income source,debt_consolidation,11.98,4,36.0,6,14,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,14975.0,10+ years,Mortgage,72500.0,not verified,debt_consolidation,21.07,1,39.0,12,20,Female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,15750.0,7 years,Rent,100000.0,VERIFIED - income,credit_card,15.67,0,38.0,13,32,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
112,13200.0,4 years,Mortgage,45708.0,VERIFIED - income,home_improvement,22.52,0,52.0,9,17,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,21000.0,10+ years,Mortgage,93000.0,VERIFIED - income,credit_card,30.39,4,32.0,13,30,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
114,3000.0,1 year,Mortgage,60000.0,not verified,home_improvement,11.38,3,0.0,5,31,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
